Experiment,Accuracy,Precision,Recall,F1,ROC-AUC
LightGBM_baseline,0.98,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.9873205320775653
LightGBM_FE_v1_continuous,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9822189745463402
LightGBM_FE_v2_indicator,0.992,0.8979591836734694,0.8627450980392157,0.88,0.9820024628208771
LightGBM_FE_v3_combination_indicator,0.99,0.86,0.8431372549019608,0.8514851485148515,0.9816235673013167
LightGBM_FE_v2_tuned,0.99,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9881189190652107
LightGBM_final_threshold,0.992,0.8979591836734694,0.8627450980392157,0.88,0.9820024628208771
