Experiment,Accuracy,Precision,Recall,F1,ROC-AUC,Accuracy_diff_from_baseline,Precision_diff_from_baseline,Recall_diff_from_baseline,F1_diff_from_baseline,ROC-AUC_diff_from_baseline
LightGBM_baseline,0.98,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.9873205320775653,0.0,0.0,0.0,0.0,0.0
LightGBM_FE_v1_continuous,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9822189745463402,0.010666666666666713,0.19334049409237375,0.07843137254901966,0.13777777777777778,-0.005101557531225098
