Experiment,Accuracy,Precision,Recall,F1,ROC-AUC,Accuracy_diff_from_previous,Precision_diff_from_previous,Recall_diff_from_previous,F1_diff_from_previous,ROC-AUC_diff_from_previous
LightGBM_baseline,0.98,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.9873205320775653,,,,,
LightGBM_FE_v1_continuous,0.9906666666666667,0.8775510204081632,0.8431372549019608,0.86,0.9822189745463402,0.010666666666666713,0.19334049409237375,0.07843137254901966,0.13777777777777778,-0.005101557531225098
LightGBM_FE_v2_indicator,0.992,0.8979591836734694,0.8627450980392157,0.88,0.9820024628208771,0.0013333333333332975,0.020408163265306145,0.019607843137254943,0.020000000000000018,-0.00021651172546310882
LightGBM_FE_v3_combination_indicator,0.99,0.86,0.8431372549019608,0.8514851485148515,0.9816235673013167,-0.0020000000000000018,-0.0379591836734694,-0.019607843137254943,-0.02851485148514854,-0.0003788955195603849
