Experiment,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC
LightGBM_FE_v2_threshold,0.1,0.9853333333333333,0.7377049180327869,0.8823529411764706,0.8035714285714286,0.9820024628208771
LightGBM_FE_v2_threshold,0.11,0.9853333333333333,0.7377049180327869,0.8823529411764706,0.8035714285714286,0.9820024628208771
LightGBM_FE_v2_threshold,0.12,0.9853333333333333,0.7377049180327869,0.8823529411764706,0.8035714285714286,0.9820024628208771
LightGBM_FE_v2_threshold,0.13,0.9853333333333333,0.7377049180327869,0.8823529411764706,0.8035714285714286,0.9820024628208771
LightGBM_FE_v2_threshold,0.13999999999999999,0.986,0.7586206896551724,0.8627450980392157,0.8073394495412844,0.9820024628208771
LightGBM_FE_v2_threshold,0.14999999999999997,0.9866666666666667,0.7719298245614035,0.8627450980392157,0.8148148148148148,0.9820024628208771
LightGBM_FE_v2_threshold,0.15999999999999998,0.9866666666666667,0.7719298245614035,0.8627450980392157,0.8148148148148148,0.9820024628208771
LightGBM_FE_v2_threshold,0.16999999999999998,0.9873333333333333,0.7857142857142857,0.8627450980392157,0.822429906542056,0.9820024628208771
LightGBM_FE_v2_threshold,0.17999999999999997,0.9873333333333333,0.7857142857142857,0.8627450980392157,0.822429906542056,0.9820024628208771
LightGBM_FE_v2_threshold,0.18999999999999995,0.9873333333333333,0.7857142857142857,0.8627450980392157,0.822429906542056,0.9820024628208771
LightGBM_FE_v2_threshold,0.19999999999999996,0.988,0.8,0.8627450980392157,0.8301886792452831,0.9820024628208771
LightGBM_FE_v2_threshold,0.20999999999999996,0.988,0.8,0.8627450980392157,0.8301886792452831,0.9820024628208771
LightGBM_FE_v2_threshold,0.21999999999999995,0.988,0.8,0.8627450980392157,0.8301886792452831,0.9820024628208771
LightGBM_FE_v2_threshold,0.22999999999999993,0.988,0.8,0.8627450980392157,0.8301886792452831,0.9820024628208771
LightGBM_FE_v2_threshold,0.23999999999999994,0.988,0.8,0.8627450980392157,0.8301886792452831,0.9820024628208771
LightGBM_FE_v2_threshold,0.24999999999999994,0.988,0.8,0.8627450980392157,0.8301886792452831,0.9820024628208771
LightGBM_FE_v2_threshold,0.2599999999999999,0.988,0.8,0.8627450980392157,0.8301886792452831,0.9820024628208771
LightGBM_FE_v2_threshold,0.2699999999999999,0.9886666666666667,0.8148148148148148,0.8627450980392157,0.8380952380952381,0.9820024628208771
LightGBM_FE_v2_threshold,0.2799999999999999,0.9886666666666667,0.8148148148148148,0.8627450980392157,0.8380952380952381,0.9820024628208771
LightGBM_FE_v2_threshold,0.2899999999999999,0.9886666666666667,0.8148148148148148,0.8627450980392157,0.8380952380952381,0.9820024628208771
LightGBM_FE_v2_threshold,0.29999999999999993,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9820024628208771
LightGBM_FE_v2_threshold,0.3099999999999999,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9820024628208771
LightGBM_FE_v2_threshold,0.3199999999999999,0.9893333333333333,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9820024628208771
